,Gene,AccNum,seqlogo_logL_L24_t1,seqlogo_logL_S15_t0,seqlogo_logL_S15_t1,TIS,MFE_fpUTR_normed,MFE_fpUTRandORF_normed
875,DHX33,NM_020162,-18.19482645261418,-18.275006401429685,-18.414451238288667,67.0,-0.4832338308457711,-0.5251495016611295
876,EGR1,NM_001964,-18.19709660114872,-18.275348594030557,-18.416385883823303,124.0,-0.3897407407407408,-0.3805675675675676
877,PATZ1,NM_014323,-18.197740851602234,-18.275876392866326,-18.416552751237152,76.0,-0.6103630862329803,-0.5860840998685939
878,RAB3GAP2,NM_012414,-18.19874035193532,-18.27759943696633,-18.417000664259678,103.0,-0.40286585365853655,-0.4449621212121212
879,MIER2,NM_017550,-18.20179512193027,-18.27818609013579,-18.419783397507324,118.0,-0.4201694915254237,-0.5055345911949686
880,PDCD2,NM_002598,-18.20302321981836,-18.27885122458176,-18.41995065803195,87.0,-0.3697297297297297,-0.527867298578199
881,CBR1,NM_001286789,-18.20302321981836,-18.279552662811867,-18.42076961414713,86.0,-0.5697916666666667,-0.5167465753424657
882,C9orf16,NM_024112,-18.20302321981836,-18.280452505948734,-18.425488344797298,77.0,-0.3958783783783784,-0.48975806451612897
883,RPL3,NM_000967,-18.204476708446343,-18.281047175846226,-18.425645950754387,81.0,-0.30205882352941177,-0.35327380952380955
884,CLEC16A,NM_015226,-18.204876788467683,-18.28137800346968,-18.427542642885584,96.0,-0.5493043478260871,-0.4963333333333333
885,TESC,NM_017899,-18.205464850819236,-18.282676863059887,-18.428262634503728,86.0,-0.4926829268292683,-0.4724242424242424
886,GRSF1,NM_002092,-18.208309802951465,-18.28352106895201,-18.429291280517347,100.0,-0.28204819277108434,-0.4691803278688525
887,SLBP,NM_006527,-18.21057480958232,-18.283600046469235,-18.43364684978502,105.0,-0.5544484629294756,-0.5496477794793262
888,OSBP,NM_002556,-18.211776010927952,-18.28394469568264,-18.43379439751192,87.0,-0.42441666666666666,-0.44968965517241377
889,EMILIN2,NM_032048,-18.212844958116854,-18.28431726401332,-18.43384007829105,85.0,-0.6203773584905661,-0.6257528957528957
890,CRTC3,NM_022769,-18.212844958116854,-18.28433772885857,-18.434406829908323,98.0,-0.6255376344086021,-0.5837762237762238
891,UBR1,NM_174916,-18.2151151066514,-18.28495305843933,-18.434689987735702,121.0,-0.4260606060606061,-0.46728915662650605
892,DDI2,NM_032341,-18.215759357104908,-18.28665683415734,-18.434847964007538,79.0,-0.5421126760563381,-0.493258785942492
893,TRAPPC8,NM_014939,-18.21813154124997,-18.287302154615624,-18.43489340973024,111.0,-0.5238736263736263,-0.5250862068965517
894,YY1,NM_003403,-18.221213207787372,-18.28804167813678,-18.438549086778927,112.0,-0.6330416666666667,-0.5989137931034483
895,STX6,NM_005819,-18.222997329580878,-18.28977111469578,-18.442328490875255,80.0,-0.4316964285714286,-0.4276277372262774
896,VPS13C,NM_001018088,-18.224748862619684,-18.290752119036235,-18.442338431364213,73.0,-0.4593406593406593,-0.4761256544502618
897,ARRB1,NM_004041,-18.226328308454143,-18.292145089721373,-18.445621606714624,97.0,-0.658125,-0.5340432098765432
898,AKAP9,NM_005751,-18.228512510268988,-18.293798277969344,-18.446338310780565,74.0,-0.3815555555555555,-0.40135384615384617
899,DSG2,NM_001943,-18.228593315085,-18.2938556480022,-18.447000097165546,117.0,-0.5725403225806452,-0.5219827586206897
900,VIRMA,NM_015496,-18.233047665434373,-18.295557612463856,-18.44745104913499,97.0,-0.35464788732394364,-0.3055555555555556
901,MICU2,NM_152726,-18.23531781396892,-18.29724113369448,-18.449108781684327,95.0,-0.4526470588235294,-0.5054166666666666
902,COX8A,NM_004074,-18.237101935762414,-18.297446603687398,-18.449331573263727,91.0,-0.3114864864864865,-0.3848275862068965
903,CIB1,NM_001277764,-18.238162766101148,-18.29806384044594,-18.44950062068193,94.0,-0.4330864197530864,-0.4593893129770992
904,RBM19,NM_001146699,-18.23923171329005,-18.300355678515505,-18.44985771499419,76.0,-0.3407638888888889,-0.3667622950819672
905,TPGS2,NM_015476,-18.239562346455568,-18.304527717494253,-18.45101953943195,76.0,-0.5457015590200446,-0.5335701275045538
906,LRP11,NM_032832,-18.241015835083555,-18.308039053285476,-18.451294862785332,96.0,-0.5829629629629629,-0.5820754716981132
907,SREBF1,NM_001005291,-18.245470185432936,-18.311319153929254,-18.451795832402773,67.0,-0.5731958762886598,-0.5262244897959184
908,URI1,NM_003796,-18.247482904781442,-18.313374416953984,-18.45270701765144,74.0,-0.5936569579288026,-0.5793398533007335
909,VCPIP1,NM_025054,-18.24938408475407,-18.31407923931217,-18.45350335488564,89.0,-0.3747104247104247,-0.4603899721448468
910,MAP2K7,NM_001297555,-18.250585286099707,-18.31942904866984,-18.453767388451396,113.0,-0.4916969696969697,-0.4808679245283019
911,UQCRFS1,NM_006003,-18.25198486645413,-18.320742166290923,-18.459868000836067,99.0,-0.40459459459459457,-0.4886729857819905
912,COG1,NM_018714,-18.26163512228629,-18.321592291047672,-18.460048969202873,102.0,-0.2691666666666667,-0.4299264705882353
913,MPHOSPH6,NM_005792,-18.269415309605254,-18.3219012632598,-18.46081924549018,107.0,-0.3804081632653061,-0.2993288590604027
914,HDAC10,NM_032019,-18.269415309605254,-18.326309280925813,-18.462280432070244,95.0,-0.5689544235924933,-0.5542071881606765
915,BRI3,NM_015379,-18.269415309605254,-18.32837924955601,-18.46363013015847,66.0,-0.5759689922480621,-0.5414847161572053
916,CALM1,NM_006888,-18.270003371956808,-18.329141445763494,-18.463861664414534,103.0,-0.4458064516129032,-0.3900287356321839
917,MYO1G,NM_033054,-18.271685458139796,-18.329281370557414,-18.464033535138874,88.0,-0.4668055555555555,-0.4274590163934425
918,CAPN2,NM_001748,-18.279065565437413,-18.33084584527329,-18.46563183495095,113.0,-0.5602678571428571,-0.5487037037037037
919,MED22,NM_181491,-18.279237047903756,-18.33189026910765,-18.466624461328628,112.0,-0.466996336996337,-0.4605630026809651
920,HECTD3,NM_024602,-18.28183782960381,-18.33191894551895,-18.467570729169463,104.0,-0.5047959183673469,-0.5515656565656565
921,GLOD4,NM_016080,-18.28183782960381,-18.335272134004462,-18.469474146991328,112.0,-0.4805263157894738,-0.4373863636363637
922,NGLY1,NM_018297,-18.283519915786798,-18.335588674407912,-18.469627695199254,112.0,-0.5377777777777778,-0.5054807692307692
923,PDHX,NM_003477,-18.284107978138348,-18.337130519557395,-18.469988474168517,105.0,-0.5342585551330798,-0.5442172523961661
924,RAB40C,NM_001172663,-18.28653635038536,-18.341064409083327,-18.47044168605563,98.0,-0.5291891891891892,-0.5091614906832298
925,TAPT1,NM_153365,-18.28695293027058,-18.341407461176946,-18.472283584387647,110.0,-0.327283950617284,-0.4819889502762431
926,PDXP,NM_020315,-18.28743381510793,-18.341929443108608,-18.472499815341948,76.0,-0.6473584905660378,-0.5862091503267973
927,RPL36,NM_015414,-18.28760529757427,-18.34200262528611,-18.473358736370358,105.0,-0.4293063583815029,-0.4256410256410256
928,RAD23B,NM_002874,-18.291888165457312,-18.342353452124765,-18.477211245777852,112.0,-0.516751269035533,-0.4598785425101215
929,REPS2,NM_004726,-18.292806860974387,-18.349739782484413,-18.478155890551328,60.0,-0.5607017543859649,-0.6300369003690037
930,SLC25A10,NM_001270888,-18.295321179941094,-18.353195911140656,-18.478373024608484,99.0,-0.6000523560209424,-0.5999312714776632
931,ERCC2,NM_000400,-18.29580206477845,-18.354310196534385,-18.481365543129577,82.0,-0.30829787234042555,-0.35081632653061223
932,PIP5K1C,NM_012398,-18.296586686238864,-18.355218156521424,-18.48604090771465,76.0,-0.5996629213483146,-0.5410582010582011
933,SRXN1,NM_080725,-18.297174748590415,-18.35681276605147,-18.48653395594095,100.0,-0.5704864864864865,-0.5830877192982457
934,CFL1,NM_005507,-18.299856335106487,-18.35692173444621,-18.48712134988494,95.0,-0.4798290598290598,-0.44
935,SARAF,NM_016127,-18.30077503062356,-18.357593003383307,-18.487535080731426,97.0,-0.5224324324324324,-0.5351532033426184
936,PDPK1,NM_002613,-18.301019201055734,-18.358071225503828,-18.487759831630054,90.0,-0.5259731543624161,-0.4753815261044177
937,EMC8,NM_006067,-18.30164045689999,-18.3584517478572,-18.48816527919461,78.0,-0.5780161943319838,-0.5459654178674351
938,EMC1,NM_015047,-18.302457116806547,-18.35892178956005,-18.49023750900946,125.0,-0.4986,-0.39526666666666666
939,TRIP6,NM_003302,-18.3071556375881,-18.35906103059305,-18.49065285569776,85.0,-0.3693529411764706,-0.4414074074074074
940,SAMD4B,NM_018028,-18.308224584777005,-18.360698734534747,-18.495639572636886,96.0,-0.3862356321839081,-0.3874213286713287
941,CYBA,NM_000101,-18.310008706570507,-18.36394870291692,-18.496211247246034,86.0,-0.5276056338028169,-0.4701169590643275
942,DDB2,NM_000107,-18.31820547377469,-18.36452960567164,-18.498300717209087,106.0,-0.338,-0.3284406779661017
943,CAPRIN1,NM_005898,-18.31879353612624,-18.36532050121644,-18.500045827005106,80.0,-0.4329629629629629,-0.4659861591695501
944,WDR92,NM_138458,-18.320475622309228,-18.365497171273148,-18.50223917554753,81.0,-0.32222222222222224,-0.3583410138248848
945,METTL26,NM_032366,-18.320977737941078,-18.366725763372905,-18.50344760556637,86.0,-0.4931578947368421,-0.5075
946,UGCG,NM_003358,-18.324357483184226,-18.368509036870734,-18.504024268187013,117.0,-0.5918222222222222,-0.5716909090909091
947,SF3A1,NM_005877,-18.330039931421688,-18.373741346687414,-18.507053874753527,76.0,-0.40774193548387105,-0.414078431372549
948,VPS51,NM_013265,-18.330627993773238,-18.373755164768408,-18.508698810856355,92.0,-0.31169117647058825,-0.4676271186440678
949,POLR3D,NM_001722,-18.330627993773238,-18.37474905755605,-18.50884308316297,75.0,-0.4746987951807229,-0.5493989071038252
950,IQCE,NM_152558,-18.330697440629066,-18.377451725096076,-18.509205239366487,102.0,-0.5853809523809524,-0.4992580645161291
951,MACF1,NM_012090,-18.331688824111968,-18.37881134461212,-18.509512162336932,73.0,-0.2980769230769231,-0.39480263157894735
952,ESRRA,NM_001282450,-18.33454189309438,-18.380001486789276,-18.510393733144493,75.0,-0.4673504273504274,-0.4615568862275449
953,ZBTB7A,NM_015898,-18.33574309444001,-18.380073901828943,-18.513863876132493,116.0,-0.4855197132616488,-0.4883641160949868
954,RANBP2,NM_006267,-18.336223979277364,-18.3802375109133,-18.51576252526865,80.0,-0.470952380952381,-0.4463274336283186
955,CXXC5,NM_001317199,-18.336223979277364,-18.380297840918452,-18.517014443124143,83.0,-0.5345544554455446,-0.5236123348017621
956,ALKBH7,NM_032306,-18.337596663089336,-18.381406748945736,-18.517178850100148,112.0,-0.3728865979381443,-0.42125
957,COPB1,NM_016451,-18.33899624344376,-18.38219040117395,-18.520278152909214,92.0,-0.4287296416938111,-0.38810810810810814
958,GGNBP2,NM_024835,-18.34151056241047,-18.382955350792493,-18.520645901093253,104.0,-0.48012658227848104,-0.4674278846153846
959,TMBIM4,NM_001282606,-18.342462451420246,-18.384739472585988,-18.521079756158553,117.0,-0.4765289256198347,-0.47257918552036204
960,TNFRSF1B,NM_001066,-18.344592228947878,-18.384739472585988,-18.52183897126532,108.0,-0.513820224719101,-0.5268783068783068
961,PSMF1,NM_178578,-18.34530740355248,-18.385415376633354,-18.52286795351849,117.0,-0.4384158415841584,-0.4441721854304636
962,METTL2B,NM_018396,-18.34637635074138,-18.386401083958113,-18.524492188230024,112.0,-0.2235135135135135,-0.3627007299270073
963,METTL2A,NM_181725,-18.34637635074138,-18.388482504589,-18.524844432334767,112.0,-0.13555555555555554,-0.3644915254237288
964,HBM,NM_001003938,-18.34637635074138,-18.39090824399465,-18.524921344689034,87.0,-0.17416666666666664,-0.4487096774193549
965,PKD1,NM_001009944,-18.34686237748242,-18.39319312890418,-18.525673052549,74.0,-0.5966985645933014,-0.6674110032362459
966,SLC12A7,NM_006598,-18.34922130287361,-18.393198132983773,-18.526307328921696,72.0,-0.456969696969697,-0.5107831325301205
967,MSH2,NM_000251,-18.352614822884266,-18.393848065239325,-18.52990074355085,107.0,-0.33528,-0.43422222222222223
968,CKB,NM_001823,-18.354744600411895,-18.393924382163068,-18.530247201631507,64.0,-0.4972641509433962,-0.391747572815534
969,ALDOC,NM_005165,-18.35701474894644,-18.397598337997014,-18.531003852247114,75.0,-0.3742758620689655,-0.393265306122449
970,RPL24,NM_000986,-18.35734538211195,-18.398235541605114,-18.532698034563783,86.0,-0.07186046511627907,-0.2921678321678321
971,SLC39A8,NM_001135147,-18.360480956922927,-18.401304489460692,-18.534533028530323,117.0,-0.4187912087912088,-0.4765732758620689
972,DTYMK,NM_001320905,-18.360811590088442,-18.4026949695672,-18.534885776203147,121.0,-0.5061621621621621,-0.5381052631578948
973,TEX261,NM_144582,-18.364725489409572,-18.402715873711923,-18.536413275569124,74.0,-0.622719298245614,-0.5173831775700934
974,FAM173A,NM_023933,-18.3647949362654,-18.402807119345226,-18.5396234063078,78.0,-0.5215037593984962,-0.549656652360515
975,CCT5,NM_012073,-18.36699563794412,-18.404946976193106,-18.54015529729452,102.0,-0.3059761904761905,-0.3286923076923077
976,NOL4L,NM_001256798,-18.37314764735365,-18.4092853777917,-18.54237481411661,79.0,-0.5744808743169398,-0.6204946996466429
977,RAD51AP1,NM_001130862,-18.373547727374998,-18.41017229580993,-18.54251714767554,76.0,-0.3168589743589744,-0.300390625
978,STXBP2,NM_001272034,-18.37396430726021,-18.41107150529948,-18.5438703815562,113.0,-0.4169387755102041,-0.3734899328859061
979,ZFPM1,NM_153813,-18.374547227708078,-18.411258481915915,-18.54428925195835,78.0,-0.4696969696969697,-0.3651127819548872
980,EIPR1,NM_001330530,-18.377045973797614,-18.411333604929887,-18.54461467149148,76.0,-0.4168724279835391,-0.4026239067055393
981,NANP,NM_152667,-18.377217456263963,-18.42189173821729,-18.54953039537804,99.0,-0.4884375,-0.4209756097560976
982,DST,NM_001144769,-18.37763403614917,-18.42214424320272,-18.54977266004337,101.0,-0.17756097560975612,-0.21049645390070926
983,NAA16,NM_024561,-18.383332057263807,-18.42427697060418,-18.55198813778134,71.0,-0.4092592592592593,-0.3703537735849057
984,PHF2,NM_005392,-18.388651833889615,-18.42556146710625,-18.55302307223134,98.0,-0.6540816326530613,-0.5296761133603239
985,TPP2,NM_001330588,-18.39063135974542,-18.426021131559292,-18.5534609414318,111.0,-0.336504854368932,-0.36231527093596055
986,ZNRF1,NM_032268,-18.39172538357685,-18.426878122990995,-18.55372936753211,107.0,-0.5324274809160305,-0.5593509933774834
987,MSH3,NM_002439,-18.392794330765764,-18.42700683888405,-18.55383495918877,83.0,-0.44875,-0.4337222222222222
988,NDUFB5,NM_002492,-18.392896366376274,-18.42764868015498,-18.55452675549588,105.0,-0.059310344827586216,-0.3906201550387597
989,H1F0,NM_005318,-18.39516651491081,-18.42783267920878,-18.557034993721174,94.0,-0.4562557077625571,-0.4330483271375464
990,CARMIL1,NM_017640,-18.39516651491081,-18.42908800508788,-18.55762966717921,96.0,-0.4113858695652173,-0.3725213675213676
991,SNX4,NM_003794,-18.395566594932152,-18.42928402429839,-18.558207288641132,78.0,-0.4697619047619048,-0.5743661971830986
992,RBM8A,NM_005105,-18.396950636704315,-18.4297311919734,-18.56045124107524,105.0,-0.3145454545454546,-0.3027142857142857
993,ATP6AP2,NM_005765,-18.397020083560136,-18.43054785187996,-18.5632375616931,92.0,-0.3862745098039215,-0.35806930693069305
994,UQCC2,NM_032340,-18.39944938279385,-18.431703410585165,-18.56541013216116,114.0,-0.4550769230769231,-0.4286666666666667
995,DNMT1,NM_001130823,-18.399620865260196,-18.433427406686977,-18.567900596419737,70.0,-0.4370338983050848,-0.4492261904761905
996,PEX13,NM_002618,-18.402465817392425,-18.43443502387024,-18.5693030929725,129.0,-0.3269879518072289,-0.4203825136612022
997,MIGA2,NM_001329990,-18.402946702229773,-18.434880009802512,-18.56959568761895,109.0,-0.4845541401273886,-0.5043719806763285
998,RCAN1,NM_004414,-18.40414790357541,-18.435321427062775,-18.570712149415566,86.0,-0.6482442748091604,-0.6156277056277056
999,CTU1,NM_145232,-18.406135546281387,-18.435709603224648,-18.57306562041876,66.0,-0.43015384615384616,-0.4457575757575757
1000,RBFA,NM_024805,-18.40781763246437,-18.43639549090903,-18.57552463009844,81.0,-0.29660000000000003,-0.47744
1001,NDUFAF3,NM_199069,-18.413515653579008,-18.436962920773322,-18.57576222874886,112.0,-0.5769047619047619,-0.5638741721854305
1002,ARHGDIA,NM_001185077,-18.413969641873912,-18.438806693856264,-18.578153308237752,121.0,-0.5776775956284154,-0.539206008583691
1003,IRGQ,NM_001007561,-18.41536922222833,-18.439429425371976,-18.57926422749958,74.0,-0.38057692307692303,-0.426953125
1004,RPL22L1,NM_001099645,-18.41763937076287,-18.441963414794934,-18.583806004422566,118.0,-0.3302247191011236,-0.3149206349206349
1005,PSMA2,NM_002787,-18.419423492556373,-18.44199140992379,-18.58492814859887,92.0,-0.3516666666666666,-0.3967567567567568
1006,TTLL11,NM_001139442,-18.42024015246293,-18.442126483980942,-18.585495355122024,108.0,-0.3893617021276596,-0.4664236111111112
1007,NPM3,NM_006993,-18.42024015246293,-18.445905309244925,-18.585681212641312,104.0,-0.1165217391304348,-0.4120325203252033
1008,C14orf93,NM_021944,-18.42188390324953,-18.446503517406086,-18.588237428075157,78.0,-0.3972291666666666,-0.3993448275862069
1009,ZCCHC4,NM_024936,-18.434588929076646,-18.447269876206718,-18.589715315884614,113.0,-0.22555555555555554,-0.3731617647058824
1010,STARD8,NM_001142503,-18.435241296380333,-18.44971633488469,-18.58987457022913,72.0,-0.5105140186915887,-0.4678025477707006
1011,IMPACT,NM_018439,-18.437772631224572,-18.450359659594305,-18.59209301894932,98.0,-0.5457142857142857,-0.4359905660377359
1012,TATDN2,NM_014760,-18.438833461563302,-18.450359659594305,-18.59239337293081,101.0,-0.4961617900172117,-0.4998384728340675
1013,FAM234B,NM_020853,-18.439902408752204,-18.450994290330183,-18.593140641888713,112.0,-0.1491304347826087,-0.3408130081300813
1014,SYNE3,NM_152592,-18.447453998516163,-18.451094769111414,-18.595050641410054,94.0,-0.19066666666666665,-0.31130434782608696
1015,LEMD2,NM_181336,-18.4486551998618,-18.454327013970442,-18.59565167762331,116.0,-0.30846153846153845,-0.4542477876106194
1016,RGS16,NM_002928,-18.449952744605707,-18.45572246895692,-18.597737745688427,82.0,-0.378051948051948,-0.342755905511811
1017,TTC27,NM_017735,-18.451255981561857,-18.457987475587768,-18.597894624983986,74.0,-0.3454212454212454,-0.3931099195710456
1018,PDIA5,NM_006810,-18.451736866399212,-18.45808372530067,-18.600549908642638,117.0,-0.4256410256410257,-0.501796875
1019,GAB2,NM_080491,-18.454007014933747,-18.46210059374346,-18.600656553444892,78.0,-0.5064705882352941,-0.4981188118811881
1020,STARD7,NM_020151,-18.45537455684203,-18.4645781194487,-18.601134211788022,80.0,-0.5411471321695761,-0.5607984031936127
1021,SHKBP1,NM_138392,-18.45962423123237,-18.465806588023547,-18.602972271415144,102.0,-0.4804081632653061,-0.4996644295302014
1022,CCDC117,NM_173510,-18.45962423123237,-18.466443791631647,-18.603645603271413,109.0,-0.5163068181818182,-0.5459420289855073
1023,ZNF268,NM_152943,-18.459705036048387,-18.466443791631647,-18.607770442833658,111.0,-0.36596969696969694,-0.3654883720930233
1024,STT3B,NM_178862,-18.460245487076627,-18.46662763205868,-18.607905362686285,111.0,-0.5314457831325302,-0.5223913043478261
1025,THTPA,NM_024328,-18.461558604697707,-18.467012173497753,-18.608591276073348,106.0,-0.44373711340206173,-0.4581278538812785
1026,PGAM5,NM_001170543,-18.461889237863225,-18.46865965700595,-18.609053779992568,110.0,-0.5597142857142857,-0.5997647058823529
1027,SMARCC1,NM_003074,-18.461894379766914,-18.47092607281889,-18.61106909864371,114.0,-0.4508474576271186,-0.5013761467889908
1028,PIGK,NM_005482,-18.464159386397764,-18.472323635480162,-18.61147028424573,94.0,-0.26222222222222225,-0.345448275862069
1029,PRDX4,NM_006406,-18.464944007858183,-18.473001192177808,-18.61211117737197,83.0,-0.39488372093023255,-0.4088111888111888
1030,PTRH1,NM_001002913,-18.46584147258075,-18.47435163127568,-18.6175086986094,78.0,-0.1745945945945946,-0.3694160583941606
1031,MOGS,NM_006302,-18.46584147258075,-18.477438804759647,-18.62185651574617,117.0,-0.4925766871165645,-0.5109125475285171
1032,CDKN2AIP,NM_017632,-18.46584147258075,-18.478473278454274,-18.621929558087942,105.0,-0.4767149758454106,-0.47628664495114
1033,C1orf198,NM_001136494,-18.468073285718898,-18.48078137949677,-18.62446764070258,89.0,-0.3992592592592593,-0.3825949367088608
1034,MARCH5,NM_017824,-18.46927448706453,-18.481731738573306,-18.624986493862835,77.0,-0.4698493975903615,-0.4282407407407408
1035,CAPN1,NM_001198868,-18.47095657324752,-18.48182910630137,-18.62622047885359,94.0,-0.4994416243654822,-0.5126599326599326
1036,NOMO2,NM_173614,-18.471458688879377,-18.482048894124965,-18.626445581876613,79.0,-0.4225,-0.5416860465116279
1037,NOMO1,NM_014287,-18.471458688879377,-18.482199101759825,-18.628202240518394,79.0,-0.3895454545454546,-0.5445180722891566
1038,LHPP,NM_022126,-18.472527636068282,-18.483617642098924,-18.62878933206253,91.0,-0.5351648351648352,-0.5611518324607329
1039,NGRN,NM_001033088,-18.475993844044766,-18.4839962053058,-18.629442977072767,101.0,-0.2552,-0.44826666666666665
1040,SKI,NM_003036,-18.476810503951324,-18.487841589158908,-18.6313467097713,73.0,-0.4865277777777778,-0.5580232558139535
1041,STXBP1,NM_003165,-18.48217789190044,-18.488215071429504,-18.63142314698908,97.0,-0.5524365482233502,-0.4692929292929293
1042,ENDOD1,NM_015036,-18.48250852506596,-18.492181154447643,-18.634185977278005,81.0,-0.3754237288135593,-0.5247706422018349
1043,MRPS9,NM_182640,-18.484362093715287,-18.492571763534308,-18.636257363915323,102.0,-0.2410294117647059,-0.35386904761904764
1044,HMBS,NM_000190,-18.48810451057008,-18.493146641388602,-18.636974339528326,77.0,-0.4252866242038216,-0.3996108949416343
1045,LAMTOR2,NM_014017,-18.489958079219406,-18.49505913086098,-18.63700159352438,91.0,-0.3835975609756097,-0.389810606060606
1046,FUBP3,NM_003934,-18.49126131617556,-18.49542527181618,-18.637019045875,114.0,-0.5375925925925926,-0.5470673076923077
1047,MYO1C,NM_001080779,-18.491742201012908,-18.49714731883755,-18.63844782305613,119.0,-0.4726818181818182,-0.47009375
1048,MUL1,NM_024544,-18.492558860919466,-18.49717548946002,-18.638588559105898,80.0,-0.4599363057324841,-0.4542023346303502
1049,CDKN2AIPNL,NM_080656,-18.493146923271016,-18.498917767824054,-18.639014295748872,71.0,-0.5209433962264151,-0.5115686274509804
1050,MRPS30,NM_016640,-18.496613131247504,-18.50051439072553,-18.64101680090244,95.0,-0.2376315789473684,-0.4113043478260869
1051,WNK1,NM_001184985,-18.497673961586234,-18.5041780084786,-18.641565359038147,89.0,-0.5366718506998445,-0.5187483176312248
1052,ENDOG,NM_004435,-18.49784544405257,-18.504239364349797,-18.64199881183073,76.0,-0.40778378378378377,-0.533157894736842
1053,DAPK3,NM_001348,-18.498844944385656,-18.505164741669407,-18.642086798260262,71.0,-0.5066666666666666,-0.4980352644836272
1054,AKT1,NM_005163,-18.501115092920195,-18.507265786151905,-18.64277274413989,80.0,-0.4598194945848376,-0.4416360856269113
1055,CLPP,NM_006012,-18.502209116751626,-18.50863094964589,-18.644081441625925,80.0,-0.4226829268292683,-0.4803139013452914
1056,DCAF7,NM_005828,-18.50238059921796,-18.512780221266574,-18.64494823188064,74.0,-0.3963786008230452,-0.3831778425655977
1057,FCGRT,NM_001136019,-18.504981380918018,-18.514740621816006,-18.645242228227822,102.0,-0.3365020576131687,-0.3957167235494881
1058,SMURF1,NM_020429,-18.50742625302891,-18.515863639091204,-18.645591785875755,77.0,-0.6193823529411765,-0.5474318181818182
1059,THYN1,NM_014174,-18.50749569988473,-18.51607138694866,-18.648836241595895,83.0,-0.3513429752066116,-0.3341267123287671
1060,SSFA2,NM_001130445,-18.509679901699574,-18.51961380912665,-18.64914760721821,76.0,-0.5495156695156695,-0.5849667405764967
1061,P3H1,NM_001243246,-18.510679402032657,-18.520220770495477,-18.650876990058816,100.0,-0.5292920353982301,-0.5036150234741784
1062,CLTA,NM_007096,-18.510679402032657,-18.521214344920192,-18.653616017056137,97.0,-0.38945273631840793,-0.4836544850498339
1063,IRF8,NM_002163,-18.51463163675018,-18.522501480783852,-18.653969705751628,86.0,-0.3528070175438596,-0.3007643312101911
1064,HNRNPUL2,NM_001079559,-18.516194582720765,-18.52390681155302,-18.6571623583126,77.0,-0.4909170305676856,-0.4912158054711246
1065,UBFD1,NM_019116,-18.517403900916573,-18.524844056336924,-18.657381104139027,132.0,-0.4606930693069307,-0.4685430463576159
1066,ATP5F1D,NM_001687,-18.518945616092655,-18.52495925211541,-18.65821071870911,84.0,-0.2831683168316832,-0.35875621890547266
1067,CYTL1,NM_018659,-18.521317800237714,-18.52508259064203,-18.659245923626326,80.0,-0.3036,-0.4256
1068,CTR9,NM_014633,-18.524681972603684,-18.525102262483905,-18.661637164680126,95.0,-0.4374647887323944,-0.4438593155893536
1069,KCNH2,NM_000238,-18.5247840082142,-18.52625175354153,-18.661726750666283,86.0,-0.7190773067331672,-0.6419560878243513
1070,UBE2G1,NM_003342,-18.525616240997923,-18.52671534111053,-18.663773162728948,103.0,-0.5256424581005587,-0.4747816593886463
1071,CCNF,NM_001761,-18.525844838552924,-18.528137360636986,-18.66560219630927,97.0,-0.56125,-0.4330851063829788
1072,FBXL18,NM_024963,-18.52869790753533,-18.528636985928426,-18.6656618654271,98.0,-0.5200806451612903,-0.4456696428571428
1073,DNAJC3,NM_006260,-18.53029918890231,-18.528656976133217,-18.66576707969,80.0,-0.4172649572649573,-0.4357142857142857
1074,EXOSC7,NM_015004,-18.53037999371832,-18.52873209914719,-18.66717564291759,107.0,-0.3010344827586207,-0.3805426356589148
1075,RP9,NM_203288,-18.53071062688384,-18.5294944072808,-18.667254317658664,76.0,-0.2444444444444445,-0.4770338983050848
1076,SIRT7,NM_016538,-18.531298689235392,-18.530921982764074,-18.668200011078184,100.0,-0.3609803921568627,-0.4729801324503312
1077,PPARA,NM_005036,-18.531298689235392,-18.533414417737838,-18.66951629432936,74.0,-0.3943984962406015,-0.37122950819672135
1078,DOCK5,NM_024940,-18.538748243388838,-18.536267486720238,-18.669607782833648,91.0,-0.5424193548387097,-0.4815734265734266
1079,HIST1H2AI,NM_003509,-18.53966693890591,-18.53693715943037,-18.66962934497957,93.0,-0.16818181818181818,-0.44261261261261264
1080,ELANE,NM_001972,-18.541018391923377,-18.537112077464656,-18.669929578886226,104.0,-0.43783333333333335,-0.4777272727272727
1081,QDPR,NM_000320,-18.545403295416936,-18.539106392007564,-18.670687792751586,128.0,-0.5951666666666666,-0.5774642857142857
1082,LYL1,NM_005583,-18.546635608222005,-18.5402934198143,-18.671981427059556,62.0,-0.5430733944954129,-0.5425596816976127
1083,MRPL20,NM_001318485,-18.547218528669873,-18.542000110509665,-18.67225023924527,67.0,-0.4271875,-0.4219897959183673
1084,DVL2,NM_004422,-18.54831769440499,-18.543478135881823,-18.67318557908491,111.0,-0.5163475177304965,-0.4945287958115183
1085,PLEKHO2,NM_025201,-18.55150139655291,-18.54440533310136,-18.673359575083442,71.0,-0.4679850746268657,-0.4106410256410257
1086,ATP6V1G1,NM_004888,-18.55541529587405,-18.544822209416736,-18.673635177564837,91.0,-0.45728,-0.42106666666666653
1087,NUDT16,NM_152395,-18.55661649721968,-18.545167529308845,-18.67439188849389,112.0,-0.3205,-0.4892142857142857
1088,CHERP,NM_006387,-18.55726886452337,-18.547060948818878,-18.676165378986667,75.0,-0.4897297297297298,-0.3862068965517241
